time,{Controller3}.Controller3_1.accdes,{Controller2}.Controller2_1.accdes,{SimpleCar1}.SimpleCar1_1.speed,{SimpleCar1}.SimpleCar1_1.x,{SimpleCar2}.SimpleCar2_1.speed,{SimpleCar2}.SimpleCar2_1.x,{SimpleCar3}.SimpleCar3_1.speed,{SimpleCar3}.SimpleCar3_1.x,{Attack}.Attack_1.output,{LeadCar}.LeadCar_1.accel,{LeadCar}.LeadCar_1.speed,{LeadCar}.LeadCar_1.x,{Controller1}.Controller1_1.accdes
0.0,0.0,0.0,7.0,25.0,5.0,15.0,8.0,5.0,0.0,-0.01,10.0,40.0,0.0
0.1,-1.065000057220459,0.7350000143051147,7.0,25.7,5.0,15.5,8.0,5.8,10.0,0.027692910893753947,9.999,41.0,-1.565000057220459
0.2,-0.6907535791397095,-0.02075357735157013,6.843499994277954,26.4,5.073500001430512,16.0,7.8934999942779545,6.6,9.999,0.06534862343517606,10.001769291089376,41.9999,-0.5744537115097046
0.30000000000000004,-0.9968754649162292,0.4252743422985077,6.786054623126983,27.084349999427793,5.071424643695355,16.507350000143052,7.824424636363983,7.389349999427795,10.001769291089376,0.10292997598221719,10.008304153432894,43.000076929108936,-0.5202950835227966
0.4,-0.7386898994445801,0.4624744951725006,6.7340251147747034,27.762955461740493,5.113952077925206,17.01449246451259,7.72473708987236,8.171792463064193,10.008304153432894,0.1403998802771651,10.018597151031116,44.00090734445222,-0.503662645816803
0.5,-0.6587042808532715,0.46479353308677673,6.683658850193023,28.436357973217962,5.160199527442456,17.52588767230511,7.650868099927902,8.94426617205143,10.018597151031116,0.17772135804827702,10.032637139058833,45.00276705955533,-0.4875185489654541
0.6,-0.6045011878013611,0.46580180525779724,6.634906995296477,29.104723858237264,5.206678880751134,18.041907625049355,7.584997671842575,9.70935298204422,10.032637139058833,0.21485757750286952,10.05040927486366,46.00603077346121,-0.47040626406669617
0.7,-0.5533226132392883,0.4675796627998352,6.587866368889808,29.76821455776691,5.253259061276914,18.562575513124468,7.524547553062439,10.467852749228477,10.05040927486366,0.251771889675851,10.071895032613948,47.011071700947575,-0.45233631134033203
0.7999999999999999,-0.5031871199607849,0.47018903493881226,6.542632737755774,30.42700119465589,5.300017027556898,19.08790141925216,7.46921529173851,11.220307504534722,10.071895032613948,0.28842786459782566,10.097072221581534,48.01826120420897,-0.4333798885345459
0.8999999999999999,-0.4539616107940674,0.4735782742500305,6.49929474890232,31.081264468431467,5.347035931050779,19.61790312200785,7.418896579742431,11.967229033708572,10.097072221581534,0.32478932724707504,10.125915008041316,49.027968426367124,-0.41360798478126526
0.9999999999999999,-0.4056457281112671,0.4776906669139862,6.457933950424193,31.7311939433217,5.394393758475782,20.152606715112928,7.373500418663024,12.709118691682814,10.125915008041316,0.3608203932499368,10.158393940766024,50.04055992717126,-0.39309224486351013
1.0999999999999999,-0.3582475483417511,0.4824695289134979,6.418624725937843,32.37698733836412,5.4421628251671805,20.692046090960506,7.332935845851898,13.446468733549116,10.158393940766024,0.39648550429434953,10.194475980091017,51.05639932124786,-0.3719015419483185
1.2,-0.3117772340774536,0.4878595471382141,6.381434571743011,33.0188498109579,5.49040977805853,21.236262373477224,7.297111091017722,14.179762318134307,10.194475980091017,0.4317494632216135,10.234124530520452,52.07584691925696,-0.35010451078414917
1.3,-0.266244500875473,0.4938046932220459,6.3464241206645955,33.656993268132204,5.5391957327723516,21.785303351283076,7.265933367609977,14.90947342723608,10.234124530520452,0.4665774687617367,10.277299476842613,53.09925937230901,-0.32776814699172974
1.4000000000000001,-0.22166050970554352,0.500251293182373,6.313647305965422,34.29163568019867,5.588576202094556,22.33922292456031,7.239308917522429,15.636066763997079,10.277299476842613,0.5009351498780872,10.323957223718786,54.12698931999327,-0.304958313703537
1.5000000000000002,-0.17803539335727692,0.5071443319320679,6.283151474595068,34.92300041079521,5.638601331412794,22.898080544769766,7.217142866551875,16.35999765574932,10.323957223718786,0.5347885996874562,10.374050738706595,55.15938504236515,-0.28173965215682983
1.6000000000000003,-0.13538190722465515,0.514431357383728,6.254977509379385,35.55131555825472,5.689315764606,23.461940677911045,7.199339327216147,17.08171194240451,10.374050738706595,0.5681044089220584,10.42752959867534,56.19679011623581,-0.2581753134727478
1.7000000000000004,-0.09371110796928406,0.522059440612793,6.2291599780321105,36.17681330919266,5.740758900344373,24.030872254371644,7.185801136493681,17.801645875126127,10.42752959867534,0.6008496989004456,10.484340039567547,57.239543076103345,-0.23432762920856476
1.8000000000000005,-0.05303514003753662,0.5299770832061768,6.205727215111254,36.79972930699587,5.7929648444056525,24.60494814440608,7.176430025696752,18.520225988775497,10.484340039567547,0.6329921539747961,10.544425009457592,58.2879770800601,-0.210256889462471
1.9000000000000006,-0.013366608880460262,0.5381335020065308,6.184701526165006,37.420302028506995,5.84596255272627,25.184244628846645,7.171126511692998,19.237868991345174,10.544425009457592,0.6645000534225568,10.607724224855072,59.34241958100586,-0.18602246046066284
2.0000000000000004,0.02528238855302334,0.5464789867401123,6.16609928011894,38.0387721811235,5.899775902926923,25.76884088411927,7.1697898508049525,19.954981642514472,10.607724224855072,0.6953423027509679,10.674174230197329,60.40319200349137,-0.16168296337127686
2.1000000000000005,0.06289933621883392,0.5549637079238892,6.149930983781812,38.655382109135395,5.954423801600934,26.358818474411965,7.172318089660255,20.671960627594967,10.674174230197329,0.7254884643835718,10.743708460472426,61.4706094265111,-0.1372947096824646
